pid,gid,1fuel_gas,1fuel_elec_foss,1fuel_elec_renew,2access,3chargtime,4drivrange,5fuelcost,6price,choice
1,1,0,1,0,100,60,500,0.26,257619,1
1,1,0,0,1,10,15,200,0.26,373584,0
1,1,0,0,1,70,60,200,1.29,412190,0
1,1,0,1,0,70,40,200,1.03,373584,0
1,2,1,0,0,100,240,200,0.52,257619,0
1,2,0,0,1,100,40,300,1.29,373584,1
1,2,1,0,0,10,60,300,1.03,257619,0
1,2,0,1,0,10,240,300,0.52,412190,0
1,3,0,0,1,40,240,500,1.03,257619,0
1,3,1,0,0,40,40,300,0.26,412190,0
1,3,1,0,0,70,240,500,1.29,373584,1
1,3,0,0,1,10,60,500,0.52,257619,0
1,4,1,0,0,100,15,500,1.03,412190,0
1,4,0,0,1,70,15,300,0.52,257619,0
1,4,1,0,0,40,60,500,0.52,373584,1
1,4,0,1,0,40,15,200,1.29,257619,0
2,5,0,1,0,100,60,500,0.26,257619,0
2,5,0,0,1,10,15,200,0.26,373584,0
2,5,0,0,1,70,60,200,1.29,412190,1
2,5,0,1,0,70,40,200,1.03,373584,0
2,6,1,0,0,100,240,200,0.52,257619,0
2,6,0,0,1,100,40,300,1.29,373584,1
2,6,1,0,0,10,60,300,1.03,257619,0
2,6,0,1,0,10,240,300,0.52,412190,0
2,7,0,0,1,40,240,500,1.03,257619,1
2,7,1,0,0,40,40,300,0.26,412190,0
2,7,1,0,0,70,240,500,1.29,373584,0
2,7,0,0,1,10,60,500,0.52,257619,0
2,8,1,0,0,100,15,500,1.03,412190,0
2,8,0,0,1,70,15,300,0.52,257619,1
2,8,1,0,0,40,60,500,0.52,373584,0
2,8,0,1,0,40,15,200,1.29,257619,0
3,9,0,1,0,100,60,500,0.26,257619,1
3,9,0,0,1,10,15,200,0.26,373584,0
3,9,0,0,1,70,60,200,1.29,412190,0
3,9,0,1,0,70,40,200,1.03,373584,0
3,10,1,0,0,100,240,200,0.52,257619,0
3,10,0,0,1,100,40,300,1.29,373584,1
3,10,1,0,0,10,60,300,1.03,257619,0
3,10,0,1,0,10,240,300,0.52,412190,0
3,11,0,0,1,40,240,500,1.03,257619,0
3,11,1,0,0,40,40,300,0.26,412190,0
3,11,1,0,0,70,240,500,1.29,373584,0
3,11,0,0,1,10,60,500,0.52,257619,1
3,12,1,0,0,100,15,500,1.03,412190,1
3,12,0,0,1,70,15,300,0.52,257619,0
3,12,1,0,0,40,60,500,0.52,373584,0
3,12,0,1,0,40,15,200,1.29,257619,0
4,13,0,1,0,100,60,500,0.26,257619,1
